Date,Adj. Close,Adj. Volume,Code,Month
2009/7/31,16.82355146,3838800,WIKI/MMC,7
2009/8/31,19.39404513,3242900,WIKI/MMC,8
2009/9/30,20.37445777,5230000,WIKI/MMC,9
2009/10/31,19.48747662,9095600,WIKI/MMC,10
2009/11/30,18.73156854,3683400,WIKI/MMC,11
2009/12/31,18.34115447,2188000,WIKI/MMC,12
2010/1/31,18.07343631,3029700,WIKI/MMC,1
2010/2/28,19.46499031,2948600,WIKI/MMC,2
2010/3/31,20.47093296,2781100,WIKI/MMC,3
2010/4/30,20.47121031,3517500,WIKI/MMC,4
2010/5/31,18.43423191,4048700,WIKI/MMC,5
2010/6/30,19.05969416,4509700,WIKI/MMC,6
2010/7/31,20.05340516,2570900,WIKI/MMC,7
2010/8/31,20.22392732,3856900,WIKI/MMC,8
2010/9/30,20.56497162,3701100,WIKI/MMC,9
2010/10/31,21.4863795,2480800,WIKI/MMC,10
2010/11/30,21.57239383,4142000,WIKI/MMC,11
2010/12/31,23.51631768,1145700,WIKI/MMC,12
2011/1/31,24.16155482,1959500,WIKI/MMC,1
2011/2/28,26.38011939,4437000,WIKI/MMC,2
2011/3/31,25.83414452,2155100,WIKI/MMC,3
2011/4/30,26.42663069,2548300,WIKI/MMC,4
2011/5/31,26.76700011,3461700,WIKI/MMC,5
2011/6/30,27.220826,2742400,WIKI/MMC,6
2011/7/31,25.91714461,3738100,WIKI/MMC,7
2011/8/31,26.119279,3538800,WIKI/MMC,8
2011/9/30,23.33333975,3499300,WIKI/MMC,9
2011/10/31,27.12813635,3949400,WIKI/MMC,10
2011/11/30,26.74717297,4271100,WIKI/MMC,11
2011/12/31,28.01409769,1294200,WIKI/MMC,12
2012/1/31,28.18132603,2417100,WIKI/MMC,1
2012/2/29,27.83340843,3277400,WIKI/MMC,2
2012/3/31,29.25184174,1983700,WIKI/MMC,3
2012/4/30,30.04381132,3381200,WIKI/MMC,4
2012/5/31,28.72350033,4664400,WIKI/MMC,5
2012/6/30,28.94804301,3741800,WIKI/MMC,6
2012/7/31,30.03986347,2862000,WIKI/MMC,7
2012/8/31,30.90822447,2425200,WIKI/MMC,8
2012/9/30,30.69113422,2536800,WIKI/MMC,9
2012/10/31,30.98757526,3135800,WIKI/MMC,10
2012/11/30,32.07118427,5028900,WIKI/MMC,11
2012/12/31,31.38823742,2518400,WIKI/MMC,12
2013/1/31,32.52097892,11883400,WIKI/MMC,1
2013/2/28,34.04253543,6418300,WIKI/MMC,2
2013/3/31,34.80331368,1961400,WIKI/MMC,3
2013/4/30,35.05480866,2492000,WIKI/MMC,4
2013/5/31,36.90853571,2785100,WIKI/MMC,5
2013/6/30,36.81631049,3156300,WIKI/MMC,6
2013/7/31,38.85108036,2003200,WIKI/MMC,7
2013/8/31,38.25722578,2094700,WIKI/MMC,8
2013/9/30,40.40994864,2278300,WIKI/MMC,9
2013/10/31,42.74847226,2131800,WIKI/MMC,10
2013/11/30,44.2885373,938800,WIKI/MMC,11
2013/12/31,45.13790651,972400,WIKI/MMC,12
2014/1/31,42.89801627,3318400,WIKI/MMC,1
2014/2/28,45.19729739,2612700,WIKI/MMC,2
2014/3/31,46.26716697,2318300,WIKI/MMC,3
2014/4/30,46.51848274,1796000,WIKI/MMC,4
2014/5/31,47.42413561,2035100,WIKI/MMC,5
2014/6/30,48.88638766,1475200,WIKI/MMC,6
2014/7/31,48.15547808,2378000,WIKI/MMC,7
2014/8/31,50.36548918,1523400,WIKI/MMC,8
2014/9/30,49.64462719,1489803,WIKI/MMC,9
2014/10/31,51.85216652,2386690,WIKI/MMC,10
2014/11/30,53.96936001,753328,WIKI/MMC,11
2014/12/31,54.589259,1261240,WIKI/MMC,12
2015/1/31,51.53119243,3442375,WIKI/MMC,1
2015/2/28,54.5212858,1648751,WIKI/MMC,2
2015/3/31,53.75459519,1599829,WIKI/MMC,3
2015/4/30,54.08606782,3398998,WIKI/MMC,4
2015/5/31,56.07962481,2353795,WIKI/MMC,5
2015/6/30,54.60612616,2909033,WIKI/MMC,6
2015/7/31,56.10769213,1743058,WIKI/MMC,7
2015/8/31,52.03083014,2622615,WIKI/MMC,8
2015/9/30,50.56858273,2263461,WIKI/MMC,9
2015/10/31,54.29197208,2930704,WIKI/MMC,10
2015/11/30,53.86340251,3219033,WIKI/MMC,11
2015/12/31,54.00950578,1422129,WIKI/MMC,12
2016/1/31,52.258536,2452902,WIKI/MMC,1
2016/2/29,55.90379671,2681550,WIKI/MMC,2
2016/3/31,59.5686556,1491852,WIKI/MMC,3
2016/4/30,62.19706493,2138966,WIKI/MMC,4
2016/5/31,65.07300206,2840649,WIKI/MMC,5
2016/6/30,67.4269369,3668525,WIKI/MMC,6
2016/7/31,65.08743659,2802545,WIKI/MMC,7
2016/8/31,66.94849181,1930595,WIKI/MMC,8
2016/9/30,66.57232107,2597202,WIKI/MMC,9
2016/10/31,63.07258321,1804173,WIKI/MMC,10
2016/11/30,68.96293962,2836925,WIKI/MMC,11
2016/12/31,67.25155228,1391115,WIKI/MMC,12
2004/1/31,38.1688406,141800,WIKI/MLM,1
2004/2/29,40.88730947,397200,WIKI/MLM,2
